strategy,first_seen_in,novel,replicable,blocked_reason,base,tier,odds,oos_win,oos_roi,bets,backed,price_column,graded_against,min_odds_floor,hold_sec,window_sec,market_status_columns,reconciliation_gap,n_conditions,conditions
BAS_tg_under_0045,COMBINA_1027.xlsx,False,True,,tg_under,Vision,1.908,55.6,5.6,367,tg_under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.48,1,X_X_u_elapsed__minus__u_time_in_lead__over__X_u_pace__over__u_time_in_lead <= 0.0224
BAS_spread_dog_c_0201,COMBINA_1027.xlsx,False,True,,spread_dog_cover,Vision,1.922,55,5.6,295,spread_dog_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.11,1,X_u_elapsed__x__u_time_in_lead >= 0.2114
BAS_lead_ml_0063,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: pc_c8103e63, rk_dog_odds",lead_ml,Npc,1.612,66.3,5.5,352,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.38,2,rk_dog_odds >= 1.8351 AND pc_c8103e63 >= -1.2162
BAS_prop:late_le_0251,COMBINA_1027.xlsx,False,True,,prop:late_lead_hold,Jobber,2.33,46.9,5.3,338,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-3.98,1,retrace_lead <= 0.3623
BAS_prop:q4_clos_0253,COMBINA_1027.xlsx,False,True,,prop:q4_close_trailer,Feeder,3.897,27.1,5.3,331,prop:q4_close_trailer,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.31,1,away_odds <= 4.0695
BAS_SHORTENED_0049,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: trailer_price,SHORTENED,Npc,1.606,66,5.2,311,SHORTENED,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.8,1,trailer_price >= 1.8315
BAS_prop:held_le_0230,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: pc_428f55cf,prop:held_lead,Npc,1.534,69.3,5.1,331,prop:held_lead,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.21,1,pc_428f55cf <= 2.3887
BAS_prop:fresh_l_0257,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: margin_range_300s,prop:fresh_lead,Npc,1.589,66.5,4.9,353,prop:fresh_lead,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.77,1,margin_range_300s <= 5
BAS_prop:shorten_0185,COMBINA_1027.xlsx,False,True,,prop:shortener_vs_open,Npc,1.65,63.4,4.9,347,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.29,1,dog_odds_vol_180 <= 0.367
BAS_prop:shorten_0189,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: lead_vs_prematch_gap,prop:shortener_vs_open,Npc,1.654,63.5,4.9,321,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.13,1,lead_vs_prematch_gap <= -0.0106
BAS_prop:first_s_0026,COMBINA_1027.xlsx,False,True,,prop:first_scorer_hold,Jobber,2.248,47.1,4.8,317,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.08,1,price_gap <= 1.89
BAS_tg_under_lag_0123,COMBINA_1027.xlsx,False,True,,tg_under_lag,Vision,1.902,55.2,4.7,347,tg_under_lag,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.29,1,line_vel <= 3
BAS_prop:first_s_0042,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: prog_period, rk_implied_edge",prop:first_scorer_hold,Jobber,2.265,46.4,4.7,323,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.4,2,prog_period <= 0.3414 AND rk_implied_edge <= 0.4534
BAS_prop:first_s_0027,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: prog_period,prop:first_scorer_hold,Jobber,2.351,43.7,4.6,323,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1.86,1,prog_period <= 0.5091
BAS_prop:shorten_0192,COMBINA_1027.xlsx,False,True,,prop:shortener_vs_open,Npc,1.672,62.9,4.5,319,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.67,2,lead_vs_med <= 0.941 AND ten_mins <= 16.5308
BAS_dog_leading_0160,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,dog_leading,Jobber,2.443,43.7,4.5,337,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.26,2,tg_overround <= 1.1175 AND req_ratio >= 1.195
BAS_lead_ml_0069,COMBINA_1027.xlsx,False,True,,lead_ml,Npc,1.587,66.5,4.4,396,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.14,2,dp_lead_open <= 2.75 AND lead_m15 <= 1
BAS_prop:shorten_0183,COMBINA_1027.xlsx,False,True,,prop:shortener_vs_open,Npc,1.665,62.9,4.3,330,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.43,1,X_minute__over__u_elapsed <= 43.0064
BAS_prop:late_le_0208,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: leader_implied_gap,prop:late_lead_hold,Npc,1.604,64.6,4.1,357,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.48,1,leader_implied_gap >= 0.0232
BAS_late_lead_ho_0089,COMBINA_1027.xlsx,False,True,,late_lead_hold,Npc,1.638,64.1,4.1,339,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.9,1,X_minute__over__u_vol <= 353.579
BAS_late_lead_ho_0221,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,late_lead_hold,Jobber,2.408,44.3,4.1,280,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.57,2,tg_overround <= 1.1237 AND secs_since_quarter_start <= 41.6871
BAS_q1_winner_0128,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: rk_implied_edge,q1_winner,Npc,1.481,70.3,4,341,q1_winner,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.11,1,rk_implied_edge >= 0.107
BAS_spread_dog_c_0102,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: price_move_since_score,spread_dog_cover,Vision,1.8,57.7,3.9,349,spread_dog_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.04,1,price_move_since_score <= 1
BAS_spec:TG_Hist_0046,COMBINA_1027.xlsx,False,True,,spec:TG_Historical_vs_Handicap_Under,Vision,1.914,54.8,3.9,320,spec:TG_Historical_vs_Handicap_Under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.99,1,dog_odds_vol_180 <= 0.3005
BAS_prop:shorten_0212,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_px_ratio,prop:shortener_vs_open,Jobber,2.408,44.4,3.9,298,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-3.02,1,tg_px_ratio <= 1.1543
BAS_prop:shorten_0190,COMBINA_1027.xlsx,False,True,,prop:shortener_vs_open,Npc,1.662,63.2,3.8,361,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.24,1,u_vel_t <= 0
BAS_prop:garbage_0120,COMBINA_1027.xlsx,False,True,,prop:garbage_under,Vision,1.767,58.6,3.8,354,prop:garbage_under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.25,1,pts_last_60s >= 1.5
BAS_prop:dog_lea_0179,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: pc_aa16b0a5,prop:dog_leading_late,Jobber,2.204,47.1,3.8,289,prop:dog_leading_late,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.01,2,pc_aa16b0a5 >= -0.2943 AND u_velocity <= 1.08
BAS_dog_leading_0171,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,dog_leading,Jobber,2.474,43.4,3.8,318,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-3.57,2,opp_drift <= 1.0492 AND tg_overround <= 1.1169
BAS_spec:HT_Unde_0110,COMBINA_1027.xlsx,False,True,,spec:HT_Underdog_Fade,Npc,1.734,60.1,3.7,348,spec:HT_Underdog_Fade,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.51,1,lead_vs_med <= 1.1401
BAS_prop:first_s_0040,COMBINA_1027.xlsx,False,True,,prop:first_scorer_hold,Jobber,2.256,46,3.7,316,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.08,2,loser_runmin >= 1.2769 AND u_jump <= 1.0976
BAS_tg_under_lag_0009,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: pc_51f228a2,tg_under_lag,Vision,1.77,58.1,3.6,395,tg_under_lag,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.76,2,pc_51f228a2 <= 0.3508 AND price_rank_in_match >= 0.3333
BAS_prop:first_s_0038,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_px_ratio,prop:first_scorer_hold,Jobber,2.219,46.5,3.6,372,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.42,1,tg_px_ratio >= 1
BAS_dog_covering_0074,COMBINA_1027.xlsx,False,True,,dog_covering_late,Vision,1.8,57.5,3.5,341,dog_covering_late,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0,1,u_ratio_open <= 2.8369
BAS_spread_dog_c_0105,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: price_move_since_score,spread_dog_cover,Vision,1.8,57.4,3.4,308,spread_dog_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.08,2,price_move_since_score <= 1 AND backed_pts_last_60s <= 3.8538
BAS_prop:first_s_0082,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: lead_changes_total, tg_imp_over",prop:first_scorer_hold,Npc,1.614,64.8,3.3,328,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.29,2,tg_imp_over >= 0.5165 AND lead_changes_total <= 1
BAS_spec:Leader_0054,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: trailer_price,spec:Leader,Npc,1.548,66.7,3.1,413,spec:Leader,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.15,1,trailer_price >= 1.92
BAS_lead_ml_0060,COMBINA_1027.xlsx,False,True,,lead_ml,Npc,1.622,64.3,3.1,405,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.19,1,dow >= 2
BAS_prop:first_s_0086,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: tg_imp_over, trailer_price",prop:first_scorer_hold,Npc,1.611,64.3,3.1,361,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.49,2,trailer_price >= 1.84 AND tg_imp_over >= 0.5126
BAS_prop:shorten_0184,COMBINA_1027.xlsx,False,True,,prop:shortener_vs_open,Npc,1.648,63.3,3.1,342,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.22,2,imbal >= 0.0164 AND line_flat >= 0.8667
BAS_prop:shorten_0191,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: pc_7b8a13a5,prop:shortener_vs_open,Npc,1.68,61.6,3.1,329,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.39,3,dog_odds_vol_180 >= 0.0469 AND price_gap <= 0.96 AND pc_7b8a13a5 <= 2.1294
BAS_dog_leading_0167,COMBINA_1027.xlsx,False,True,,dog_leading,Jobber,2.488,42.4,3.1,309,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.39,1,X_minute__x__u_pace <= 324.3
BAS_lead_ml_0147,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,lead_ml,Jobber,2.29,46.1,3,335,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.57,2,tg_overround <= 1.1237 AND lead_m15 <= 0
BAS_lead_ml_0062,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: trailer_price,lead_ml,Npc,1.533,67.2,2.9,339,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.12,2,trailer_price >= 1.92 AND u_time_in_lead >= 0.0009
BAS_spread_dog_c_0256,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: trailer_drift,spread_dog_cover,Npc,1.578,64.9,2.9,365,spread_dog_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.49,1,trailer_drift <= 4.1282
BAS_prop:shorten_0200,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: lead_vs_prematch_gap,prop:shortener_vs_open,Npc,1.648,62.8,2.9,291,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.59,2,req_ratio >= 1.0985 AND lead_vs_prematch_gap <= -0.0126
BAS_dog_leading_0173,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: open_vs_now_lead, tg_overround",dog_leading,Jobber,2.368,44.5,2.9,366,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.48,2,tg_overround <= 1.1169 AND open_vs_now_lead <= 0.73
BAS_prop:first_s_0080,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: rk_dog_odds,prop:first_scorer_hold,Npc,1.588,64.9,2.8,355,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.26,1,rk_dog_odds >= 1.85
BAS_lead_ml_0150,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: tg_overround, u_hazard",lead_ml,Jobber,2.245,46.6,2.8,353,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.82,2,tg_overround <= 1.1236 AND u_hazard <= -0.1409
BAS_prop:shorten_0210,COMBINA_1027.xlsx,False,True,,prop:shortener_vs_open,Jobber,2.263,45.7,2.8,299,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.62,1,u_jump >= 0.9449
BAS_prop:first_s_0081,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: lead_changes_300s, pc_dc4196fb",prop:first_scorer_hold,Npc,1.6,64.8,2.7,338,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.98,2,pc_dc4196fb >= -4.4615 AND lead_changes_300s <= 2
BAS_late_lead_ho_0101,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: pace_last_300s_vs_line,late_lead_hold,Npc,1.634,63.4,2.6,356,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1,2,tot_vs_line >= -167.5 AND pace_last_300s_vs_line <= -72.8785
BAS_prop:garbage_0122,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: total_line_move,prop:garbage_under,Vision,1.765,58,2.5,357,prop:garbage_under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.13,1,total_line_move >= -5.8769
BAS_prop:dog_lea_0181,COMBINA_1027.xlsx,False,True,,prop:dog_leading_late,Jobber,2.434,42.2,2.5,315,prop:dog_leading_late,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.21,1,lead_vs_line <= -154.5
BAS_late_lead_ho_0098,COMBINA_1027.xlsx,False,True,,late_lead_hold,Npc,1.541,66.9,2.4,332,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.69,2,price_gap >= 0.2 AND jump_loser >= 0.9075
BAS_prop:match_t_0004,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: abs_margin_per_remaining_s, pc_51f228a2",prop:match_total_pace,Vision,1.774,57.5,2.4,392,prop:match_total_pace,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.4,2,pc_51f228a2 <= 0.3534 AND abs_margin_per_remaining_s >= 0.0004
BAS_prop:first_s_0023,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,prop:first_scorer_hold,Jobber,2.192,47.1,2.4,313,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.84,2,tg_overround <= 1.1237 AND lead_poss >= 0.7268
BAS_dog_leading_0159,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: open_vs_now_lead, tg_overround",dog_leading,Jobber,2.373,43.2,2.3,339,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.21,2,tg_overround <= 1.117 AND open_vs_now_lead <= 0.7331
BAS_spec:Leader_0051,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_imp_under,spec:Leader,Npc,1.628,63.2,2.2,396,spec:Leader,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.69,1,tg_imp_under <= 0.578
BAS_late_lead_ho_0099,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: pace_last_300s_vs_line,late_lead_hold,Npc,1.629,63.2,2.2,365,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.75,1,pace_last_300s_vs_line <= -81.9154
BAS_dog_covering_0235,COMBINA_1027.xlsx,False,True,,dog_covering_late,Vision,1.832,55.8,2.2,321,dog_covering_late,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.03,1,imp_away <= 0.7797
BAS_tg_under_lag_0008,COMBINA_1027.xlsx,False,True,,tg_under_lag,Vision,1.778,57.3,2.1,343,tg_under_lag,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.22,1,lead_vs_line >= -179.5
BAS_DRIFTED_0021,COMBINA_1027.xlsx,False,True,,DRIFTED,Jobber,2.446,41,2.1,347,DRIFTED,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1.81,1,lead_age_s <= 176.862
BAS_late_lead_ho_0100,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: u_hazard,late_lead_hold,Npc,1.628,63.3,2,337,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.05,3,h_score <= 16.1205 AND u_hazard <= -0.1356 AND opp_velocity >= -0.0842
BAS_prop:shorten_0196,COMBINA_1027.xlsx,False,True,,prop:shortener_vs_open,Npc,1.683,61.3,2,339,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.17,1,lead_jump <= 0.9519
BAS_spread_dog_c_0104,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: price_move_since_score, tg_overround",spread_dog_cover,Vision,1.8,56.6,2,366,spread_dog_cover,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.12,2,tg_overround <= 1.112 AND price_move_since_score <= 1
BAS_prop:first_s_0078,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: leader_implied_gap,prop:first_scorer_hold,Npc,1.59,64.4,1.9,406,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.5,1,leader_implied_gap >= 0.0204
BAS_prop:shorten_0198,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: leader_implied_gap,prop:shortener_vs_open,Npc,1.624,63.3,1.9,325,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.9,1,leader_implied_gap >= 0.0192
BAS_DRIFTED_0020,COMBINA_1027.xlsx,False,True,,DRIFTED,Jobber,2.46,41.5,1.9,335,DRIFTED,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.19,1,point_spread_home >= 1.6895
BAS_prop:late_le_0205,COMBINA_1027.xlsx,False,True,,prop:late_lead_hold,Npc,1.614,63.3,1.8,341,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.37,1,prematch_dog_odds <= 2.9642
LZ_V270_BASK_016,COMBINA_1027.xlsx,False,True,,,Vision,1.787,58.5,1.8,489,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.74,3,lead_odds <= 2.25 AND lead_size >= 6 AND lead_odds >= 1.50
BAS_spec:HT_Unde_0111,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: lead_changes_300s,spec:HT_Underdog_Fade,Vision,1.757,58.2,1.8,310,spec:HT_Underdog_Fade,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.46,1,lead_changes_300s <= 1
BAS_prop:late_le_0242,COMBINA_1027.xlsx,False,True,,prop:late_lead_hold,Jobber,2.18,47.1,1.8,331,prop:late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.88,1,loser_runmin >= 1.168
BAS_dog_leading_0158,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,dog_leading,Jobber,2.343,44.4,1.8,319,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.23,2,tg_overround <= 1.1173 AND opp_drift <= 1.0811
BAS_SHORTENED_0072,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: rk_fav_odds,SHORTENED,Jobber,2.431,42.1,1.8,357,SHORTENED,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.55,2,rk_fav_odds >= 1.23 AND u_open >= 1.2538
BAS_prop:held_le_0232,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: trailer_price,prop:held_lead,Npc,1.538,66.2,1.7,291,prop:held_lead,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.12,2,trailer_price >= 1.84 AND lead_delta_last_120s >= -2.4923
BAS_lead_ml_0068,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: pace_vs_line_pct, trailer_price",lead_ml,Npc,1.548,66,1.6,403,lead_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.57,2,trailer_price >= 1.8471 AND pace_vs_line_pct >= -0.9852
BAS_tg_under_0002,COMBINA_1027.xlsx,False,True,,,Npc,1.686,61.5,1.6,813,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.09,2,X_a_score__over__home_odds >= 0 AND lead_m75 <= 1
LZ_V270_BASK_021,COMBINA_1027.xlsx,False,True,,,Vision,1.855,56.7,1.6,311,,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-3.58,3,total_pts >= 122 AND runmin >= 1.129 AND lead_odds >= 1.50
BAS_tg_over_0022,COMBINA_1027.xlsx,False,True,,tg_over,Vision,1.945,52.5,1.6,274,tg_over,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.51,2,total_points_handicap >= 135.5 AND opp_o >= 1.1423
BAS_prop:shorten_0195,COMBINA_1027.xlsx,False,True,,prop:shortener_vs_open,Npc,1.664,61.8,1.5,325,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.34,1,lead_jump <= 0.9429
BAS_spec:HT_Unde_0112,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: rk_dog_odds, u_ratio_shift",spec:HT_Underdog_Fade,Vision,1.729,59.1,1.5,311,spec:HT_Underdog_Fade,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.68,3,lead_vs_med <= 1.175 AND rk_dog_odds >= 1.83 AND u_ratio_shift >= 0.5724
BAS_late_lead_ho_0215,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: home_pace,late_lead_hold,Jobber,2.32,43.7,1.5,303,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.12,1,home_pace <= 9
BAS_prop:held_le_0234,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: pc_428f55cf,prop:held_lead,Npc,1.565,65.5,1.4,346,prop:held_lead,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.11,1,pc_428f55cf <= 2.3973
