strategy,first_seen_in,novel,replicable,blocked_reason,base,tier,odds,oos_win,oos_roi,bets,backed,price_column,graded_against,min_odds_floor,hold_sec,window_sec,market_status_columns,reconciliation_gap,n_conditions,conditions
BAS_trail_ml_0025,MODE3_202748.xlsx,True,False,1 term(s) the engine cannot rebuild: pc_aa16b0a5,trail_ml,Ino,5.451,18.2,0.5,362,trail_ml,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,1.29,2,lead_jump <= 0.9429 AND pc_aa16b0a5 >= -0.6013
BAS_prop:h1_lead_0175,MODE3_202748.xlsx,True,False,1 term(s) the engine cannot rebuild: rk_lead_off_high,prop:h1_leader_hold,Npc,1.568,64.2,0.4,369,prop:h1_leader_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.27,4,line_open >= 140.0 AND rk_lead_off_high >= 0.2333 AND lead_m15 <= 1.0 AND X_point_spread_home__x__q1_lead >= 1.8237
BAS_late_lead_ho_0106,MODE3_202748.xlsx,True,False,1 term(s) the engine cannot rebuild: rk_dog_odds,late_lead_hold,Npc,1.607,62.7,0.4,335,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.36,5,line_open >= 140.0 AND prog_score <= 0.35 AND rk_dog_odds >= 1.8392 AND X_u_elapsed__minus__u_time_in_lead <= 1.0763 AND wall_min >= 131.5
BAS_tg_under_0066,MODE3_202748.xlsx,True,True,,tg_under,Vision,1.909,53,0.4,431,tg_under,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.78,4,total_points_under >= 1.75 AND pm_away <= 2.85 AND X_X_u_elapsed__minus__u_time_in_lead__minus__X_u_pace__over__u_time_in_lead <= -19.1179 AND dog_odds_vol_180 <= 0.653
BAS_prop:held_le_0171,MODE3_202748.xlsx,True,True,,prop:held_lead,Npc,1.561,64.8,0.3,315,prop:held_lead,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.85,5,line_open >= 140.0 AND pm_away <= 2.92 AND leader_runmax <= 3.66 AND lead_vs_med <= 1.175 AND line_flat >= 1.6026
BAS_tg_under_lag_0131,MODE3_202748.xlsx,True,False,1 term(s) the engine cannot rebuild: spread_cover_now,tg_under_lag,Vision,1.919,52.7,0.3,293,tg_under_lag,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.83,3,dog_odds_vol_180 <= 0.15546 AND odds_ratio <= 1.209 AND spread_cover_now >= -4.4051
BAS_tg_under_lag_0137,MODE3_202748.xlsx,True,True,,tg_under_lag,Vision,1.926,52.4,0.3,306,tg_under_lag,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.62,5,prog_score <= 0.35 AND odds_ratio <= 1.2094 AND pts_last_60s <= 6.0 AND lead_m15 <= 1.0 AND eng_score_tied <= 0.0
BAS_tg_under_lag_0133,MODE3_202748.xlsx,True,True,,tg_under_lag,Vision,1.91,52.5,0.2,347,tg_under_lag,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.08,4,pm_ratio <= 3.6843 AND imbal >= 0.0164 AND line_flat >= 0.8667 AND pts_last_60s <= 4.4615
BAS_h1_winner_0176,MODE3_202748.xlsx,True,False,1 term(s) the engine cannot rebuild: pc_4fa6ab33,h1_winner,Npc,1.548,65.3,0.1,421,h1_winner,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.98,3,total_points_under <= 1.9407 AND lead_q1h <= 1.0 AND pc_4fa6ab33 <= 0.6116
BAS_spec:Loser_1_0024,MODE3_202748.xlsx,True,True,,spec:Loser_1G,Ino,5.2,19.4,0.1,327,spec:Loser_1G,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.78,6,line_open >= 140.0 AND pm_away <= 2.92 AND leader_runmax <= 3.66 AND secs_since_run_started >= 0.0 AND fav_lead_m30 >= -1.0 AND u_trend <= -5.7851
